Employer,ContributionAmount
RUTGERS LAW SCHOOL,16500.92
RETIRED,10900.0
OPENDOOR,10400.0
AZEND PHARMA,9700.0
PSEG Nuclear LLC,7373.5
SELF,6750.0
SELF EMPLOYED,6550.0
META,5700.0
EDISON SOLAR,5200.0
ETERNAL HAIR USA LLC,5200.0
