Employer,ContributionAmount
RETIRED,70250.0
NOT EMPLOYED,55799.0
CITY OF JERSEY CITY,27415.0
GOOGLE,7960.0
COLUMBIA UNIVERSITY,6650.0
HOMEMAKER,6000.0
CORNELL UNIVERSITY,5750.0
META,5744.9400000000005
WINDELS MARX,5500.0
SHANGHAI SYMPHONY ORCHESTRA,5500.0
