Employer,ContributionAmount
Remington & Vernick Engineers,715675.0
"Waters, McPherson, McNeill, P.C.",209150.0
"Najarian Associates, Inc.",42850.0
"Persistent Construction, Inc.",31480.0
CITY OF JERSEY CITY,8590.0
ANGELS CARE,8250.0
ARO CONSTRUCTION GROUP,5200.0
WATERFRONT MANAGEMENT HC LLC,5200.0
MPA PAINTERS,5200.0
REBECCA MASTERS,5200.0
